time,funding
2020-09-18 00:00:00.001000+00:00,0.0001
2020-09-18 08:00:00.002000+00:00,-0.0074
2020-09-18 16:00:00.002000+00:00,-0.0075
2020-09-19 00:00:00+00:00,-0.00131719
2020-09-19 08:00:00.005000+00:00,-0.00029712
2020-09-19 16:00:00.008000+00:00,-0.00037158
2020-09-20 00:00:00.002000+00:00,0.00011944
2020-09-20 08:00:00.005000+00:00,0.0001
2020-09-20 16:00:00.005000+00:00,0.00071743
2020-09-21 00:00:00+00:00,0.0001
2020-09-21 08:00:00.001000+00:00,0.0001
2020-09-21 16:00:00+00:00,0.0001
2020-09-22 00:00:00.001000+00:00,0.0001
2020-09-22 08:00:00+00:00,0.0001
2020-09-22 16:00:00.004000+00:00,0.0001
2020-09-23 00:00:00.007000+00:00,0.0001
2020-09-23 08:00:00.001000+00:00,-0.00041675
2020-09-23 16:00:00.001000+00:00,-0.00269894
2020-09-24 00:00:00+00:00,-0.00064055
2020-09-24 08:00:00+00:00,-0.00133393
2020-09-24 16:00:00+00:00,-0.00257834
2020-09-25 00:00:00.009000+00:00,-0.00036761
2020-09-25 08:00:00.045000+00:00,-0.00091582
2020-09-25 16:00:00+00:00,-0.00021653
2020-09-26 00:00:00+00:00,0.0001
2020-09-26 08:00:00+00:00,0.0001
2020-09-26 16:00:00.005000+00:00,0.0001
2020-09-27 00:00:00+00:00,0.00015401
2020-09-27 08:00:00+00:00,0.00016577
2020-09-27 16:00:00.019000+00:00,0.00023287
2020-09-28 00:00:00.001000+00:00,0.00067745
2020-09-28 08:00:00+00:00,0.0001
2020-09-28 16:00:00.002000+00:00,0.00025121
2020-09-29 00:00:00+00:00,0.00023149
2020-09-29 08:00:00+00:00,0.00034554
2020-09-29 16:00:00+00:00,0.00024027
2020-09-30 00:00:00.005000+00:00,0.00030164
2020-09-30 08:00:00+00:00,0.00039594
2020-09-30 16:00:00+00:00,0.0001
2020-10-01 00:00:00+00:00,0.00022484
2020-10-01 08:00:00+00:00,0.00028747
2020-10-01 16:00:00+00:00,0.00017782
2020-10-02 00:00:00.011000+00:00,0.00051812
2020-10-02 08:00:00+00:00,0.00079814
2020-10-02 16:00:00.005000+00:00,0.0001
2020-10-03 00:00:00+00:00,0.0001
2020-10-03 08:00:00.001000+00:00,0.0001
2020-10-03 16:00:00+00:00,0.0001
2020-10-04 00:00:00+00:00,0.0001
2020-10-04 08:00:00.003000+00:00,0.0001
2020-10-04 16:00:00.001000+00:00,0.0001
2020-10-05 00:00:00+00:00,0.0001
2020-10-05 08:00:00+00:00,0.0001
2020-10-05 16:00:00.012000+00:00,0.00052962
2020-10-06 00:00:00+00:00,0.0001
2020-10-06 08:00:00.005000+00:00,0.00025766
2020-10-06 16:00:00+00:00,0.00060949
2020-10-07 00:00:00+00:00,0.00058529
2020-10-07 08:00:00+00:00,-0.00053524
2020-10-07 16:00:00+00:00,0.0001
2020-10-08 00:00:00+00:00,-0.00029745
2020-10-08 08:00:00.009000+00:00,7.316e-05
2020-10-08 16:00:00.003000+00:00,-0.00029459
2020-10-09 00:00:00.001000+00:00,0.00028063
2020-10-09 08:00:00+00:00,0.00068859
2020-10-09 16:00:00.004000+00:00,0.00039026
2020-10-10 00:00:00.005000+00:00,0.0001
2020-10-10 08:00:00+00:00,0.0001
2020-10-10 16:00:00.011000+00:00,0.0001
2020-10-11 00:00:00.002000+00:00,0.0001
2020-10-11 08:00:00.003000+00:00,0.0001
2020-10-11 16:00:00.004000+00:00,0.0001
2020-10-12 00:00:00.001000+00:00,0.0001
