time,funding
2023-05-03 16:00:00.011000+00:00,0.0001
2023-05-04 00:00:00+00:00,-0.00192157
2023-05-04 08:00:00+00:00,-3.131e-05
2023-05-04 16:00:00.011000+00:00,-0.00111865
2023-05-05 00:00:00.002000+00:00,-0.0003282
2023-05-05 08:00:00+00:00,0.0001
2023-05-05 16:00:00+00:00,0.0001
2023-05-06 00:00:00.009000+00:00,0.0001
2023-05-06 08:00:00+00:00,0.0001
2023-05-06 16:00:00+00:00,0.0001
2023-05-07 00:00:00+00:00,0.0001
2023-05-07 08:00:00+00:00,0.0001
2023-05-07 16:00:00.006000+00:00,0.0001
2023-05-08 00:00:00+00:00,0.0001
2023-05-08 08:00:00.007000+00:00,-1.972e-05
2023-05-08 16:00:00.015000+00:00,-0.00012136
2023-05-09 00:00:00.015000+00:00,-0.00099759
2023-05-09 08:00:00+00:00,-1.113e-05
2023-05-09 16:00:00+00:00,-0.00132376
2023-05-10 00:00:00.007000+00:00,-0.00254
2023-05-10 08:00:00.003000+00:00,-0.00286299
2023-05-10 16:00:00+00:00,0.0001
2023-05-11 00:00:00.011000+00:00,5.483e-05
2023-05-11 08:00:00+00:00,-0.00017154
2023-05-11 16:00:00.005000+00:00,0.0001
2023-05-12 00:00:00.020000+00:00,-7.031e-05
2023-05-12 08:00:00.001000+00:00,-5.917e-05
2023-05-12 16:00:00.010000+00:00,-5.787e-05
2023-05-13 00:00:00+00:00,1.178e-05
2023-05-13 08:00:00+00:00,8.279e-05
2023-05-13 16:00:00.026000+00:00,0.0001
2023-05-14 00:00:00.029000+00:00,0.0001
2023-05-14 08:00:00.010000+00:00,0.0001
2023-05-14 16:00:00.008000+00:00,0.0001
2023-05-15 00:00:00.006000+00:00,4.78e-05
2023-05-15 08:00:00.005000+00:00,-6.129e-05
2023-05-15 16:00:00.008000+00:00,-6.221e-05
2023-05-16 00:00:00.021000+00:00,-0.00021438
2023-05-16 08:00:00+00:00,-0.00046704
2023-05-16 16:00:00+00:00,1.43e-06
2023-05-17 00:00:00.010000+00:00,-1.752e-05
2023-05-17 08:00:00+00:00,4.174e-05
2023-05-17 16:00:00.001000+00:00,0.0001
2023-05-18 00:00:00+00:00,4.98e-05
2023-05-18 08:00:00.026000+00:00,0.0001
2023-05-18 16:00:00.019000+00:00,2.045e-05
2023-05-19 00:00:00+00:00,3.4e-07
2023-05-19 08:00:00.002000+00:00,0.0001
2023-05-19 16:00:00+00:00,0.0001
2023-05-20 00:00:00.005000+00:00,0.0001
2023-05-20 08:00:00.014000+00:00,0.0001
2023-05-20 16:00:00.020000+00:00,0.0001
2023-05-21 00:00:00.014000+00:00,0.0001
2023-05-21 08:00:00.001000+00:00,0.0001
2023-05-21 16:00:00.015000+00:00,0.0001
2023-05-22 00:00:00.028000+00:00,4.126e-05
2023-05-22 08:00:00+00:00,4.541e-05
2023-05-22 16:00:00.012000+00:00,0.0001
2023-05-23 00:00:00.006000+00:00,9.707e-05
2023-05-23 08:00:00.014000+00:00,0.0001
2023-05-23 16:00:00.008000+00:00,0.0001
2023-05-24 00:00:00+00:00,0.0001
2023-05-24 08:00:00.025000+00:00,-1.585e-05
2023-05-24 16:00:00.008000+00:00,4.23e-05
2023-05-25 00:00:00+00:00,-5.261e-05
2023-05-25 08:00:00.025000+00:00,0.0001
2023-05-25 16:00:00.016000+00:00,0.0001
2023-05-26 00:00:00+00:00,0.0001
2023-05-26 08:00:00.024000+00:00,0.0001
2023-05-26 16:00:00.012000+00:00,0.0001
2023-05-27 00:00:00.012000+00:00,0.0001
2023-05-27 08:00:00.018000+00:00,0.0001
2023-05-27 16:00:00.008000+00:00,0.0001
2023-05-28 00:00:00.017000+00:00,0.0001
2023-05-28 08:00:00.015000+00:00,0.0001
2023-05-28 16:00:00+00:00,0.0001
2023-05-29 00:00:00+00:00,0.0001
2023-05-29 08:00:00.020000+00:00,0.0001
2023-05-29 16:00:00.011000+00:00,0.0001
2023-05-30 00:00:00.003000+00:00,0.0001
2023-05-30 08:00:00+00:00,0.0001
2023-05-30 16:00:00.003000+00:00,0.0001
2023-05-31 00:00:00.013000+00:00,0.0001
2023-05-31 08:00:00+00:00,0.0001
2023-05-31 16:00:00+00:00,0.0001
2023-06-01 00:00:00.008000+00:00,0.0001
2023-06-01 08:00:00.012000+00:00,0.0001
2023-06-01 16:00:00+00:00,0.0001
2023-06-02 00:00:00+00:00,0.0001
2023-06-02 08:00:00.006000+00:00,0.0001
2023-06-02 16:00:00.012000+00:00,0.0001
2023-06-03 00:00:00+00:00,0.0001
2023-06-03 08:00:00.011000+00:00,0.0001
2023-06-03 16:00:00.003000+00:00,0.0001
2023-06-04 00:00:00+00:00,0.0001
2023-06-04 08:00:00+00:00,0.0001
2023-06-04 16:00:00+00:00,0.0001
2023-06-05 00:00:00.005000+00:00,0.0001
2023-06-05 08:00:00+00:00,0.0001
2023-06-05 16:00:00+00:00,0.0001
2023-06-06 00:00:00+00:00,4.142e-05
2023-06-06 08:00:00.009000+00:00,-5.884e-05
2023-06-06 16:00:00.013000+00:00,1.62e-06
2023-06-07 00:00:00+00:00,0.0001
2023-06-07 08:00:00.016000+00:00,9.117e-05
2023-06-07 16:00:00+00:00,0.0001
2023-06-08 00:00:00.006000+00:00,0.0001
2023-06-08 08:00:00+00:00,0.0001
2023-06-08 16:00:00+00:00,0.0001
2023-06-09 00:00:00+00:00,0.0001
2023-06-09 08:00:00+00:00,0.0001
2023-06-09 16:00:00+00:00,0.0001
2023-06-10 00:00:00+00:00,0.0001
2023-06-10 08:00:00+00:00,-0.00018428
2023-06-10 16:00:00+00:00,-0.00045174
2023-06-11 00:00:00.001000+00:00,-0.00034579
2023-06-11 08:00:00+00:00,-0.00018322
2023-06-11 16:00:00+00:00,-0.00013871
2023-06-12 00:00:00+00:00,-4.764e-05
2023-06-12 08:00:00+00:00,-0.00014716
2023-06-12 16:00:00.001000+00:00,8.656e-05
2023-06-13 00:00:00+00:00,-8.878e-05
2023-06-13 08:00:00+00:00,-0.00044107
2023-06-13 16:00:00+00:00,-8.064e-05
2023-06-14 00:00:00+00:00,-0.00023774
2023-06-14 08:00:00+00:00,-0.00013975
2023-06-14 16:00:00+00:00,-9.708e-05
2023-06-15 00:00:00+00:00,-9.94e-05
2023-06-15 08:00:00+00:00,-2.721e-05
2023-06-15 16:00:00+00:00,4.251e-05
2023-06-16 00:00:00+00:00,-4.081e-05
2023-06-16 08:00:00+00:00,-0.00024871
2023-06-16 16:00:00+00:00,-0.000184
2023-06-17 00:00:00+00:00,-0.00010881
2023-06-17 08:00:00+00:00,-0.00029115
2023-06-17 16:00:00+00:00,-9.877e-05
2023-06-18 00:00:00+00:00,-4.036e-05
2023-06-18 08:00:00+00:00,-0.00028728
2023-06-18 16:00:00+00:00,-0.00022026
2023-06-19 00:00:00+00:00,-0.0001707
2023-06-19 08:00:00+00:00,-0.00045979
2023-06-19 16:00:00+00:00,-9.542e-05
2023-06-20 00:00:00.001000+00:00,-0.00030822
2023-06-20 08:00:00+00:00,7.61e-06
2023-06-20 16:00:00+00:00,3.981e-05
2023-06-21 00:00:00+00:00,-1.39e-06
2023-06-21 08:00:00+00:00,6.908e-05
2023-06-21 16:00:00+00:00,-0.00020578
2023-06-22 00:00:00+00:00,-6.746e-05
2023-06-22 08:00:00.001000+00:00,1.947e-05
2023-06-22 16:00:00+00:00,-2.266e-05
2023-06-23 00:00:00+00:00,-1.731e-05
2023-06-23 08:00:00+00:00,0.0001
2023-06-23 16:00:00+00:00,1.344e-05
2023-06-24 00:00:00+00:00,4.567e-05
2023-06-24 08:00:00+00:00,-8.48e-06
2023-06-24 16:00:00+00:00,-0.0002431
2023-06-25 00:00:00+00:00,-0.00023617
2023-06-25 08:00:00+00:00,-4.063e-05
2023-06-25 16:00:00+00:00,-4.482e-05
2023-06-26 00:00:00+00:00,-7.32e-05
2023-06-26 08:00:00+00:00,-9.581e-05
2023-06-26 16:00:00+00:00,-5.16e-06
2023-06-27 00:00:00+00:00,-7.448e-05
2023-06-27 08:00:00+00:00,-0.00012209
2023-06-27 16:00:00+00:00,-0.00044013
2023-06-28 00:00:00+00:00,-0.00023556
2023-06-28 08:00:00+00:00,2.39e-06
2023-06-28 16:00:00+00:00,-0.00019797
2023-06-29 00:00:00+00:00,-0.00015526
2023-06-29 08:00:00+00:00,-0.00013726
2023-06-29 16:00:00+00:00,-0.00037707
2023-06-30 00:00:00+00:00,-0.00035261
2023-06-30 08:00:00+00:00,2.292e-05
2023-06-30 16:00:00.001000+00:00,0.0001
2023-07-01 00:00:00+00:00,0.0001
2023-07-01 08:00:00+00:00,0.0001
2023-07-01 16:00:00+00:00,4.79e-06
2023-07-02 00:00:00+00:00,-3.848e-05
2023-07-02 08:00:00+00:00,3.29e-06
2023-07-02 16:00:00.001000+00:00,8.162e-05
2023-07-03 00:00:00+00:00,0.0001
2023-07-03 08:00:00+00:00,0.0001
2023-07-03 16:00:00+00:00,0.0001
2023-07-04 00:00:00.001000+00:00,0.0001
2023-07-04 08:00:00+00:00,0.0001
2023-07-04 16:00:00+00:00,4.351e-05
2023-07-05 00:00:00+00:00,-0.00014474
2023-07-05 08:00:00+00:00,-9.664e-05
2023-07-05 16:00:00+00:00,-4.834e-05
2023-07-06 00:00:00+00:00,-0.00039038
2023-07-06 08:00:00+00:00,-0.00012866
2023-07-06 16:00:00+00:00,-0.0004059
2023-07-07 00:00:00+00:00,7.368e-05
2023-07-07 08:00:00+00:00,-0.00029288
2023-07-07 16:00:00+00:00,-0.00018456
2023-07-08 00:00:00+00:00,-0.00026281
2023-07-08 08:00:00+00:00,1.62e-06
2023-07-08 16:00:00+00:00,-0.00012131
2023-07-09 00:00:00+00:00,-5.84e-05
2023-07-09 08:00:00+00:00,-0.00012947
2023-07-09 16:00:00+00:00,2.876e-05
2023-07-10 00:00:00+00:00,-1.354e-05
2023-07-10 08:00:00+00:00,-0.00023515
2023-07-10 16:00:00+00:00,-9.678e-05
2023-07-11 00:00:00+00:00,7.221e-05
2023-07-11 08:00:00+00:00,0.0001
2023-07-11 16:00:00+00:00,-0.00018713
2023-07-12 00:00:00+00:00,-0.00010697
2023-07-12 08:00:00+00:00,0.0001
2023-07-12 16:00:00+00:00,9.689e-05
2023-07-13 00:00:00+00:00,-3.779e-05
2023-07-13 08:00:00+00:00,-0.00023009
2023-07-13 16:00:00+00:00,-1.712e-05
2023-07-14 00:00:00+00:00,0.0001
2023-07-14 08:00:00+00:00,0.0001
2023-07-14 16:00:00+00:00,0.0001
2023-07-15 00:00:00+00:00,0.0001
2023-07-15 08:00:00+00:00,0.0001
2023-07-15 16:00:00+00:00,0.0001
2023-07-16 00:00:00.001000+00:00,0.0001
2023-07-16 08:00:00+00:00,0.0001
2023-07-16 16:00:00+00:00,0.0001
2023-07-17 00:00:00+00:00,9.545e-05
2023-07-17 08:00:00+00:00,0.0001
2023-07-17 16:00:00+00:00,0.0001
2023-07-18 00:00:00+00:00,0.0001
2023-07-18 08:00:00+00:00,0.0001
2023-07-18 16:00:00+00:00,0.0001
2023-07-19 00:00:00+00:00,0.0001
2023-07-19 08:00:00+00:00,0.0001
2023-07-19 16:00:00.001000+00:00,1.476e-05
2023-07-20 00:00:00+00:00,8.83e-06
2023-07-20 08:00:00+00:00,0.0001
2023-07-20 16:00:00+00:00,6.75e-05
2023-07-21 00:00:00.001000+00:00,7.623e-05
2023-07-21 08:00:00+00:00,7.947e-05
2023-07-21 16:00:00+00:00,7.668e-05
2023-07-22 00:00:00+00:00,7.153e-05
2023-07-22 08:00:00+00:00,0.0001
2023-07-22 16:00:00+00:00,0.0001
2023-07-23 00:00:00+00:00,0.0001
