time,funding
2020-02-05 00:00:00.002000+00:00,0.0001
2020-02-05 08:00:00+00:00,0.0001
2020-02-05 16:00:00+00:00,0.00043339
2020-02-06 00:00:00+00:00,0.0002082
2020-02-06 08:00:00+00:00,0.00080653
2020-02-06 16:00:00+00:00,0.00230612
2020-02-07 00:00:00+00:00,0.00294495
2020-02-07 08:00:00+00:00,0.00157251
2020-02-07 16:00:00.001000+00:00,0.00407061
2020-02-08 00:00:00+00:00,0.00279491
2020-02-08 08:00:00+00:00,0.00133546
2020-02-08 16:00:00+00:00,0.00216647
2020-02-09 00:00:00+00:00,0.00258652
2020-02-09 08:00:00+00:00,0.00203331
2020-02-09 16:00:00+00:00,0.00232274
2020-02-10 00:00:00+00:00,0.00167637
2020-02-10 08:00:00+00:00,0.00087709
2020-02-10 16:00:00.009000+00:00,0.00170397
2020-02-11 00:00:00+00:00,0.00187233
2020-02-11 08:00:00+00:00,0.0016362
2020-02-11 16:00:00+00:00,0.00107205
2020-02-12 00:00:00+00:00,0.00189552
2020-02-12 08:00:00.001000+00:00,0.00357992
2020-02-12 16:00:00+00:00,0.00205988
2020-02-13 00:00:00.001000+00:00,0.00215033
2020-02-13 08:00:00+00:00,0.00307153
2020-02-13 16:00:00+00:00,0.00032779
2020-02-14 00:00:00+00:00,0.00016377
2020-02-14 08:00:00+00:00,0.0001
2020-02-14 16:00:00+00:00,0.00116953
2020-02-15 00:00:00+00:00,0.00266854
2020-02-15 08:00:00+00:00,0.00189436
2020-02-15 16:00:00+00:00,0.00228777
2020-02-16 00:00:00+00:00,0.00012316
2020-02-16 08:00:00+00:00,0.0001
2020-02-16 16:00:00+00:00,0.0001
2020-02-17 00:00:00+00:00,0.0001
2020-02-17 08:00:00+00:00,0.0001
2020-02-17 16:00:00+00:00,0.0001
2020-02-18 00:00:00+00:00,0.0001
2020-02-18 08:00:00+00:00,0.0001
2020-02-18 16:00:00+00:00,0.00014757
2020-02-19 00:00:00+00:00,0.00126202
2020-02-19 08:00:00.001000+00:00,0.00125256
2020-02-19 16:00:00+00:00,0.00158252
2020-02-20 00:00:00.004000+00:00,0.00040562
2020-02-20 08:00:00+00:00,0.0001
2020-02-20 16:00:00+00:00,0.0001
2020-02-21 00:00:00+00:00,0.00018372
2020-02-21 08:00:00+00:00,0.0001
2020-02-21 16:00:00+00:00,0.00082904
2020-02-22 00:00:00+00:00,0.0001
2020-02-22 08:00:00.001000+00:00,0.0001
2020-02-22 16:00:00+00:00,0.00022003
2020-02-23 00:00:00+00:00,0.0001
2020-02-23 08:00:00+00:00,0.00047539
2020-02-23 16:00:00+00:00,0.00051094
2020-02-24 00:00:00.015000+00:00,0.00064695
2020-02-24 08:00:00+00:00,0.00080841
2020-02-24 16:00:00+00:00,0.00075726
2020-02-25 00:00:00.001000+00:00,0.00026112
2020-02-25 08:00:00+00:00,0.0001
2020-02-25 16:00:00.001000+00:00,0.00022717
2020-02-26 00:00:00+00:00,0.00033159
2020-02-26 08:00:00.001000+00:00,0.0001
2020-02-26 16:00:00+00:00,0.0001
2020-02-27 00:00:00.001000+00:00,0.0001
2020-02-27 08:00:00.001000+00:00,0.0001
2020-02-27 16:00:00+00:00,0.0001
2020-02-28 00:00:00+00:00,0.0001
2020-02-28 08:00:00+00:00,0.0001
2020-02-28 16:00:00+00:00,0.00010128
2020-02-29 00:00:00+00:00,0.00046544
2020-02-29 08:00:00+00:00,0.00065467
2020-02-29 16:00:00+00:00,0.00015666
2020-03-01 00:00:00+00:00,0.0001
2020-03-01 08:00:00+00:00,0.00012782
2020-03-01 16:00:00.001000+00:00,0.0001
2020-03-02 00:00:00+00:00,0.0001
2020-03-02 08:00:00+00:00,0.0001
2020-03-02 16:00:00.004000+00:00,0.0001
2020-03-03 00:00:00+00:00,0.0001
2020-03-03 08:00:00.003000+00:00,0.00021947
2020-03-03 16:00:00+00:00,0.0001
2020-03-04 00:00:00.002000+00:00,0.0001
2020-03-04 08:00:00+00:00,0.0001
2020-03-04 16:00:00.001000+00:00,0.0001
2020-03-05 00:00:00+00:00,0.0001
2020-03-05 08:00:00+00:00,0.00045193
2020-03-05 16:00:00+00:00,0.00023215
2020-03-06 00:00:00.003000+00:00,0.0001
2020-03-06 08:00:00+00:00,0.00025137
2020-03-06 16:00:00+00:00,0.00027392
2020-03-07 00:00:00+00:00,0.00038348
2020-03-07 08:00:00.001000+00:00,0.0001
2020-03-07 16:00:00+00:00,0.0001
2020-03-08 00:00:00.001000+00:00,0.0001
2020-03-08 08:00:00+00:00,0.00020118
2020-03-08 16:00:00.006000+00:00,0.00020187
2020-03-09 00:00:00+00:00,0.0001
