time,funding
2020-02-03 00:00:00+00:00,0.0001
2020-02-03 08:00:00+00:00,0.0001
2020-02-03 16:00:00+00:00,0.0001
2020-02-04 00:00:00+00:00,0.0001
2020-02-04 08:00:00.001000+00:00,0.0001
2020-02-04 16:00:00+00:00,0.0001
2020-02-05 00:00:00.002000+00:00,0.0001
2020-02-05 08:00:00+00:00,0.0001
2020-02-05 16:00:00+00:00,0.0001
2020-02-06 00:00:00+00:00,0.0001
2020-02-06 08:00:00+00:00,0.0001
2020-02-06 16:00:00+00:00,0.00034434
2020-02-07 00:00:00+00:00,0.000185
2020-02-07 08:00:00+00:00,0.0001
2020-02-07 16:00:00.001000+00:00,0.0001
2020-02-08 00:00:00+00:00,0.0001
2020-02-08 08:00:00+00:00,0.0001
2020-02-08 16:00:00+00:00,0.0001
2020-02-09 00:00:00+00:00,0.0001
2020-02-09 08:00:00+00:00,0.0001
2020-02-09 16:00:00+00:00,0.0001
2020-02-10 00:00:00+00:00,0.0001
2020-02-10 08:00:00+00:00,0.0001
2020-02-10 16:00:00.009000+00:00,0.0001
2020-02-11 00:00:00+00:00,0.0001
2020-02-11 08:00:00+00:00,0.0006871
2020-02-11 16:00:00+00:00,0.00026773
2020-02-12 00:00:00+00:00,0.00074411
2020-02-12 08:00:00.001000+00:00,0.00267403
2020-02-12 16:00:00+00:00,0.00178372
2020-02-13 00:00:00.001000+00:00,0.00038041
2020-02-13 08:00:00+00:00,0.0001
2020-02-13 16:00:00+00:00,0.00059293
2020-02-14 00:00:00+00:00,0.00024175
2020-02-14 08:00:00+00:00,0.0001
2020-02-14 16:00:00+00:00,0.00061178
2020-02-15 00:00:00+00:00,0.00072803
2020-02-15 08:00:00+00:00,0.00102926
2020-02-15 16:00:00+00:00,0.00146303
2020-02-16 00:00:00+00:00,0.00017745
2020-02-16 08:00:00+00:00,0.00013621
2020-02-16 16:00:00+00:00,0.0001
2020-02-17 00:00:00+00:00,0.0001
2020-02-17 08:00:00+00:00,0.0001
2020-02-17 16:00:00+00:00,0.00014814
2020-02-18 00:00:00+00:00,0.0001
2020-02-18 08:00:00+00:00,0.00019447
2020-02-18 16:00:00+00:00,0.0001
2020-02-19 00:00:00+00:00,0.0001
2020-02-19 08:00:00.001000+00:00,0.0001
2020-02-19 16:00:00+00:00,0.0001
2020-02-20 00:00:00.004000+00:00,0.0001
2020-02-20 08:00:00+00:00,0.0001
2020-02-20 16:00:00+00:00,0.0001
